setname,opponent,season,wonSet,wonMatch,unforcedErrs,earnedPts,serveErr,setErr,attackErr,freeballErr,ace,kill,stuffBlock
180914 CU vs Portland St 3-0s2,Portland St,18,True,True,4,17,1,1,1,1,3,11,3
180914 CU vs Portland St 3-0s3,Portland St,18,True,True,7,17,3,1,2,1,1,15,1
180915 CU vs CO St 3-1s1,CO St,18,True,True,5,21,2,1,2,0,1,14,6
180915 CU vs CO St 3-1s2,CO St,18,True,True,6,18,1,0,5,0,1,14,3
180915 CU vs CO St 3-1s3,CO St,18,False,True,6,11,2,0,3,1,0,8,3
180915 CU vs CO St 3-1s4,CO St,18,True,True,3,19,0,0,3,0,2,12,5
180915 CU vs IN St 3-0s1,IN St,18,True,True,5,19,1,0,3,1,0,17,2
180915 CU vs IN St 3-0s2,IN St,18,True,True,9,22,1,0,8,0,0,19,3
180915 CU vs IN St 3-0s3,IN St,18,True,True,8,18,0,1,6,1,0,17,1
180919 CU vs UT 3-2s1,UT,18,False,True,8,14,1,1,6,0,0,12,2
180919 CU vs UT 3-2s2,UT,18,True,True,5,18,1,0,4,0,0,13,5
180919 CU vs UT 3-2s3,UT,18,False,True,3,9,2,0,1,0,0,7,2
180919 CU vs UT 3-2s4,UT,18,True,True,5,18,0,0,5,0,1,13,4
180919 CU vs UT 3-2s5,UT,18,True,True,1,10,0,0,1,0,1,9,0
180923 CU vs USC 2-3s1,USC,18,False,False,11,16,2,1,8,0,0,15,1
180923 CU vs USC 2-3s2,USC,18,True,False,5,17,1,0,2,2,3,14,0
180923 CU vs USC 2-3s3,USC,18,False,False,7,15,1,0,6,0,1,11,3
180923 CU vs USC 2-3s4,USC,18,True,False,3,19,1,0,1,1,1,13,5
180923 CU vs USC 2-3s5,USC,18,False,False,3,8,0,0,3,0,0,8,0
180928 CU @ WA 1-3s1,WA,18,False,False,7,15,6,0,1,0,1,9,5
180928 CU @ WA 1-3s2,WA,18,True,False,3,21,1,0,2,0,0,14,7
180928 CU @ WA 1-3s3,WA,18,False,False,2,12,0,1,1,0,2,8,2
180928 CU @ WA 1-3s4,WA,18,False,False,3,7,1,0,2,0,0,6,1
180930 CU @ WA St 1-3s1,WA St,18,True,False,4,15,2,0,2,0,0,12,3
180930 CU @ WA St 1-3s2,WA St,18,False,False,7,29,5,0,2,0,3,22,4
180930 CU @ WA St 1-3s3,WA St,18,False,False,6,14,1,0,5,0,0,11,3
180930 CU @ WA St 1-3s4,WA St,18,False,False,2,20,2,0,0,0,1,17,2
170902 CU vs WF 3-0s1,Wake,17,True,True,6,16,3,1,1,1,0,12,4
170902 CU vs WF 3-0s2,Wake,17,True,True,5,17,2,1,2,0,0,16,1
170902 CU vs WF 3-0s3,Wake,17,True,True,3,20,2,0,1,0,0,17,3
181005 CU vs Cal 3-2s1,Cal,18,True,True,2,19,0,0,2,0,1,15,3
181005 CU vs Cal 3-2s2,Cal,18,False,True,8,22,1,0,7,0,3,16,3
181005 CU vs Cal 3-2s3,Cal,18,False,True,9,13,1,0,7,1,0,12,1
181005 CU vs Cal 3-2s4,Cal,18,True,True,4,15,3,0,1,0,0,12,3
181005 CU vs Cal 3-2s5,Cal,18,True,True,1,11,0,0,1,0,0,10,1
181007 CU vs Stan 0-3s1,Stan,18,False,False,2,22,1,0,1,0,0,21,1
181007 CU vs Stan 0-3s2,Stan,18,False,False,3,19,1,0,2,0,2,17,0
181007 CU vs Stan 0-3s3,Stan,18,False,False,3,18,1,1,1,0,0,14,4
181012 CU vs OR 1-3s1,OR,18,False,False,9,16,1,0,6,2,0,15,1
181012 CU vs OR 1-3s2,OR,18,False,False,6,27,4,0,2,0,2,24,1
181012 CU vs OR 1-3s3,OR,18,True,False,3,19,1,1,1,0,1,15,3
181012 CU vs OR 1-3s4,OR,18,False,False,7,13,1,0,6,0,0,10,3
181014 CU vs OR St 3-0s1,OR St,18,True,True,5,18,1,0,4,0,3,12,3
181014 CU vs OR St 3-0s2,OR St,18,True,True,2,14,0,0,2,0,1,10,3
181014 CU vs OR St 3-0s3,OR St,18,True,True,7,22,3,0,4,0,1,19,2
181019 CU @ AZ 0-3s1,AZ,18,False,False,8,14,2,0,5,1,1,11,2
181019 CU @ AZ 0-3s2,AZ,18,False,False,6,17,3,0,3,0,0,13,4
181019 CU @ AZ 0-3s3,AZ,18,False,False,10,18,3,2,5,0,1,15,2
181021 CU @ AZ St 3-1s1,AZ St,18,False,True,5,14,3,0,2,0,1,10,3
181021 CU @ AZ St 3-1s2,AZ St,18,True,True,5,16,3,0,2,0,2,13,1
181021 CU @ AZ St 3-1s3,AZ St,18,True,True,6,17,0,0,6,0,1,10,6
181021 CU @ AZ St 3-1s4,AZ St,18,True,True,5,20,5,0,0,0,0,17,3
181026 CU vs WA St 1-3s1,WA St,18,False,False,5,18,2,0,3,0,2,13,3
181026 CU vs WA St 1-3s2,WA St,18,False,False,4,14,2,0,2,0,0,10,4
181026 CU vs WA St 1-3s3,WA St,18,True,False,4,21,0,1,3,0,1,16,4
181026 CU vs WA St 1-3s4,WA St,18,False,False,9,17,1,1,6,1,1,14,2
181028 CU vs WA 3-1s1,WA,18,True,True,3,17,0,0,3,0,1,12,4
181028 CU vs WA 3-1s2,WA,18,True,True,4,21,1,0,3,0,2,15,4
181028 CU vs WA 3-1s3,WA,18,False,True,5,14,3,0,2,0,0,12,2
181028 CU vs WA 3-1s4,WA,18,True,True,6,20,1,0,5,0,0,14,6
181031 CU @ Cal 3-0s1,Cal,18,True,True,5,19,4,0,1,0,0,17,2
181031 CU @ Cal 3-0s2,Cal,18,True,True,6,19,2,0,4,0,2,10,7
181031 CU @ Cal 3-0s3,Cal,18,True,True,6,20,1,2,3,0,2,16,2
181102 CU @ Stan 2-3s1,Stan,18,False,False,3,13,0,0,3,0,1,10,2
181102 CU @ Stan 2-3s2,Stan,18,False,False,4,15,3,0,1,0,1,9,5
181102 CU @ Stan 2-3s3,Stan,18,True,False,6,21,3,2,1,0,0,19,2
181102 CU @ Stan 2-3s4,Stan,18,True,False,5,23,2,0,3,0,1,18,4
181102 CU @ Stan 2-3s5,Stan,18,False,False,2,5,1,0,1,0,0,4,1
170903 CU vs ACU 3-0s1,Abilene Christian,17,True,True,3,19,0,2,1,0,0,17,2
170903 CU vs ACU 3-0s2,Abilene Christian,17,True,True,3,20,0,1,2,0,1,18,1
170903 CU vs ACU 3-0s3,Abilene Christian,17,True,True,3,18,1,1,1,0,1,14,3
181109 CU vs AZ St 3-0s1,AZ St,18,True,True,7,19,0,0,7,0,1,15,3
181109 CU vs AZ St 3-0s2,AZ St,18,True,True,7,16,2,0,5,0,1,13,2
181109 CU vs AZ St 3-0s3,AZ St,18,True,True,3,20,1,0,2,0,0,15,5
181111 CU vs AZ 2-3s1,AZ,18,True,False,4,17,1,2,1,0,1,15,1
181111 CU vs AZ 2-3s2,AZ,18,True,False,2,18,2,0,0,0,1,15,2
181111 CU vs AZ 2-3s3,AZ,18,False,False,9,12,3,1,5,0,1,9,2
181111 CU vs AZ 2-3s4,AZ,18,False,False,9,15,4,2,3,0,0,12,3
181111 CU vs AZ 2-3s5,AZ,18,False,False,4,7,1,1,1,1,0,7,0
181116 CU @ OR 3-2s1,OR,18,False,True,6,10,1,1,3,1,1,9,0
181116 CU @ OR 3-2s2,OR,18,True,True,2,19,0,0,2,0,1,17,1
181116 CU @ OR 3-2s3,OR,18,True,True,2,16,0,0,2,0,1,12,3
181116 CU @ OR 3-2s4,OR,18,False,True,5,12,1,0,4,0,1,9,2
181116 CU @ OR 3-2s5,OR,18,True,True,3,13,1,0,2,0,0,11,2
181118 CU @ OR St 3-2s1,OR St,18,False,True,5,19,3,0,2,0,1,13,5
181118 CU @ OR St 3-2s2,OR St,18,True,True,7,25,2,0,4,1,0,19,6
181118 CU @ OR St 3-2s3,OR St,18,False,True,4,12,1,0,3,0,0,11,1
181118 CU @ OR St 3-2s4,OR St,18,True,True,4,23,1,0,3,0,1,13,9
181118 CU @ OR St 3-2s5,OR St,18,True,True,2,11,1,0,0,1,0,9,2
181121 CU @ UCLA 3-0s1,UCLA,18,True,True,6,17,3,0,3,0,1,15,1
181121 CU @ UCLA 3-0s2,UCLA,18,True,True,2,20,0,1,1,0,1,17,2
181121 CU @ UCLA 3-0s3,UCLA,18,True,True,5,22,1,1,3,0,1,18,3
181123 CU @ UT 1-3s1,UT,18,False,False,8,22,2,0,6,0,1,16,5
181123 CU @ UT 1-3s2,UT,18,True,False,6,18,1,2,3,0,1,15,2
181123 CU @ UT 1-3s3,UT,18,False,False,4,24,0,0,4,0,1,18,5
181123 CU @ UT 1-3s4,UT,18,False,False,5,11,0,0,4,1,0,10,1
181130 CU vs SC 2-3s1,SC,18,False,False,7,26,3,0,4,0,2,22,2
181130 CU vs SC 2-3s2,SC,18,True,False,4,16,2,1,1,0,1,13,2
181130 CU vs SC 2-3s3,SC,18,False,False,4,10,0,0,4,0,1,8,1
181130 CU vs SC 2-3s4,SC,18,True,False,3,20,1,1,1,0,3,14,3
181130 CU vs SC 2-3s5,SC,18,False,False,3,10,0,0,3,0,1,9,0
190830 CU vs WY 3-0s1,WY,19,True,True,3,18,0,0,2,1,3,12,3
190830 CU vs WY 3-0s2,WY,19,True,True,7,18,1,0,6,0,0,16,2
190830 CU vs WY 3-0s3,WY,19,True,True,4,18,1,0,3,0,1,14,3
190831 CU vs LIU 3-0s1,LIU,19,True,True,10,16,3,0,6,1,0,13,3
190831 CU vs LIU 3-0s2,LIU,19,True,True,3,17,2,0,1,0,2,11,4
190831 CU vs LIU 3-0s3,LIU,19,True,True,10,14,2,0,8,0,0,12,2
190831 CU vs UCSB 3-1s1,UCSB,19,True,True,3,16,1,0,2,0,3,9,4
190831 CU vs UCSB 3-1s2,UCSB,19,True,True,3,20,1,0,2,0,1,15,4
190831 CU vs UCSB 3-1s3,UCSB,19,False,True,6,16,1,1,4,0,1,13,2
190831 CU vs UCSB 3-1s4,UCSB,19,True,True,4,14,1,0,3,0,0,13,1
170908 CU vs PA St 0-3s1,PA St,17,False,False,7,16,4,2,1,0,0,13,3
170908 CU vs PA St 0-3s2,PA St,17,False,False,2,14,1,0,1,0,1,12,1
170908 CU vs PA St 0-3s3,PA St,17,False,False,2,16,1,0,1,0,0,11,5
190906 CU @ IA 3-0s1,IA,19,True,True,7,19,2,0,5,0,1,13,5
190906 CU @ IA 3-0s2,IA,19,True,True,7,16,5,0,2,0,0,14,2
190906 CU @ IA 3-0s3,IA,19,True,True,4,17,3,0,1,0,0,13,4
190907 CU vs IL 3-0s1,IL,19,True,True,3,20,1,0,1,1,3,14,3
190907 CU vs IL 3-0s2,IL,19,True,True,4,21,3,0,1,0,2,15,4
190907 CU vs IL 3-0s3,IL,19,True,True,3,19,2,1,0,0,3,14,2
190912 CU @ CO St 0-3s1,CO St,19,False,False,10,7,3,1,6,0,0,6,1
190912 CU @ CO St 0-3s2,CO St,19,False,False,7,3,1,1,5,0,0,2,1
190912 CU @ CO St 0-3s3,CO St,19,False,False,6,15,4,0,2,0,2,11,2
190913 CU vs CO St 2-3s1,CO St,19,True,False,2,16,2,0,0,0,2,8,6
190913 CU vs CO St 2-3s2,CO St,19,False,False,4,19,0,0,4,0,0,16,3
190913 CU vs CO St 2-3s3,CO St,19,False,False,6,13,3,2,1,0,1,11,1
190913 CU vs CO St 2-3s4,CO St,19,True,False,4,15,2,0,2,0,1,10,4
190913 CU vs CO St 2-3s5,CO St,19,False,False,4,2,0,1,3,0,0,2,0
190920 CU vs Oakland 3-1s1,Oakland,19,True,True,4,15,1,0,3,0,0,14,1
190920 CU vs Oakland 3-1s2,Oakland,19,True,True,5,20,2,1,2,0,1,16,3
190920 CU vs Oakland 3-1s3,Oakland,19,False,True,5,17,4,0,1,0,0,15,2
190920 CU vs Oakland 3-1s4,Oakland,19,True,True,4,18,2,0,2,0,0,14,4
190921 CU vs Campbell 3-0s1,Campbell,19,True,True,1,14,1,0,0,0,1,12,1
190921 CU vs Campbell 3-0s2,Campbell,19,True,True,7,19,4,0,3,0,1,15,3
190921 CU vs Campbell 3-0s3,Campbell,19,True,True,6,19,1,1,4,0,2,14,3
190921 CU vs UMBC 3-0s1,UMBC,19,True,True,6,19,1,0,5,0,0,19,0
190921 CU vs UMBC 3-0s2,UMBC,19,True,True,3,20,3,0,0,0,5,13,2
190921 CU vs UMBC 3-0s3,UMBC,19,True,True,7,19,1,0,6,0,1,12,6
190925 CU @ UT 0-3s1,UT,19,False,False,5,9,0,0,5,0,0,9,0
190925 CU @ UT 0-3s2,UT,19,False,False,6,17,2,0,4,0,2,13,2
190925 CU @ UT 0-3s3,UT,19,False,False,5,17,1,0,4,0,0,12,5
190927 CU @ OR St 1-3s1,OR St,19,True,False,4,20,3,0,1,0,1,16,3
190927 CU @ OR St 1-3s2,OR St,19,False,False,9,10,3,2,4,0,0,9,1
190927 CU @ OR St 1-3s3,OR St,19,False,False,7,16,3,1,2,1,1,11,4
190927 CU @ OR St 1-3s4,OR St,19,False,False,7,18,1,1,5,0,2,11,5
191004 CU @ AZ St 1-3s1,AZ St,19,False,False,13,15,7,1,5,0,1,11,3
191004 CU @ AZ St 1-3s2,AZ St,19,False,False,7,16,2,2,3,0,2,12,2
191004 CU @ AZ St 1-3s3,AZ St,19,True,False,3,18,2,0,0,1,1,11,6
191004 CU @ AZ St 1-3s4,AZ St,19,False,False,7,14,4,0,3,0,1,9,4
170909 CU @ IL 3-2s1,IL,17,True,True,6,18,3,0,3,0,3,15,0
170909 CU @ IL 3-2s2,IL,17,False,True,5,18,2,0,3,0,1,15,2
170909 CU @ IL 3-2s3,IL,17,True,True,6,23,1,1,4,0,2,18,3
170909 CU @ IL 3-2s4,IL,17,False,True,4,12,2,1,1,0,1,9,2
170909 CU @ IL 3-2s5,IL,17,True,True,2,16,2,0,0,0,1,14,1
191006 CU @ AZ 0-3s1,AZ,19,False,False,6,6,1,0,5,0,0,4,2
191006 CU @ AZ 0-3s2,AZ,19,False,False,4,19,2,0,2,0,1,17,1
191006 CU @ AZ 0-3s3,AZ,19,False,False,3,15,1,0,2,0,0,12,3
191011 CU vs USC 1-3s1,USC,19,False,False,2,18,0,0,2,0,1,14,3
191011 CU vs USC 1-3s2,USC,19,False,False,7,15,4,0,3,0,1,11,3
191011 CU vs USC 1-3s3,USC,19,True,False,4,21,2,0,2,0,4,15,2
191011 CU vs USC 1-3s4,USC,19,False,False,4,18,4,0,0,0,1,13,4
191013 CU vs UCLA 0-3s1,UCLA,19,False,False,9,8,2,0,6,1,0,8,0
191013 CU vs UCLA 0-3s2,UCLA,19,False,False,3,16,0,0,2,1,1,14,1
191013 CU vs UCLA 0-3s3,UCLA,19,False,False,6,14,2,0,4,0,0,12,2
191018 CU @ Stan 0-3s1,Stan,19,False,False,5,12,4,0,1,0,0,11,1
191018 CU @ Stan 0-3s2,Stan,19,False,False,4,8,0,0,4,0,0,7,1
191018 CU @ Stan 0-3s3,Stan,19,False,False,6,8,4,0,2,0,2,5,1
191020 CU @ Cal 2-3s1,Cal,19,False,False,10,18,2,0,8,0,0,16,2
191020 CU @ Cal 2-3s2,Cal,19,False,False,0,20,0,0,0,0,1,18,1
191020 CU @ Cal 2-3s3,Cal,19,True,False,4,22,2,0,1,1,2,19,1
191020 CU @ Cal 2-3s4,Cal,19,True,False,1,20,1,0,0,0,1,16,3
191020 CU @ Cal 2-3s5,Cal,19,False,False,2,12,0,0,2,0,0,12,0
191024 CU vs WA St 0-3s1,WA St,19,False,False,5,12,2,0,3,0,1,10,1
191024 CU vs WA St 0-3s2,WA St,19,False,False,5,17,2,0,2,1,3,8,6
191024 CU vs WA St 0-3s3,WA St,19,False,False,4,10,0,1,3,0,0,8,2
191027 CU vs WA 1-3s1,WA,19,False,False,4,10,1,0,3,0,0,9,1
191027 CU vs WA 1-3s2,WA,19,False,False,8,18,1,0,7,0,0,17,1
191027 CU vs WA 1-3s3,WA,19,True,False,3,21,2,0,1,0,1,16,4
191027 CU vs WA 1-3s4,WA,19,False,False,4,11,2,0,2,0,0,9,2
191101 CU vs AZ 3-2s1,AZ,19,True,True,7,21,4,0,3,0,2,15,4
191101 CU vs AZ 3-2s2,AZ,19,True,True,1,20,0,0,1,0,2,17,1
191101 CU vs AZ 3-2s3,AZ,19,False,True,10,19,2,1,7,0,4,12,3
191101 CU vs AZ 3-2s4,AZ,19,False,True,4,17,1,0,3,0,0,14,3
191101 CU vs AZ 3-2s5,AZ,19,True,True,2,11,1,0,1,0,0,10,1
191103 CU vs AZ St 3-0s1,AZ St,19,True,True,1,15,0,0,1,0,3,9,3
191103 CU vs AZ St 3-0s2,AZ St,19,True,True,3,14,0,0,3,0,0,13,1
191103 CU vs AZ St 3-0s3,AZ St,19,True,True,8,18,4,0,4,0,1,17,0
191107 CU @ UCLA 3-0s1,UCLA,19,True,True,3,19,2,0,1,0,1,15,3
191107 CU @ UCLA 3-0s2,UCLA,19,True,True,10,18,6,2,2,0,2,15,1
191107 CU @ UCLA 3-0s3,UCLA,19,True,True,7,19,1,1,4,1,1,15,3
170915 CU vs XU 3-1s1,Xavier,17,True,True,6,21,0,0,5,1,3,16,2
170915 CU vs XU 3-1s2,Xavier,17,False,True,6,15,3,1,2,0,2,13,0
170915 CU vs XU 3-1s3,Xavier,17,True,True,8,23,4,0,4,0,0,19,4
170915 CU vs XU 3-1s4,Xavier,17,True,True,2,21,0,0,2,0,2,16,3
191109 CU @ USC 1-3s1,USC,19,False,False,7,10,4,1,2,0,0,10,0
191109 CU @ USC 1-3s2,USC,19,True,False,3,20,1,0,2,0,2,15,3
191109 CU @ USC 1-3s3,USC,19,False,False,5,21,1,0,4,0,1,20,0
191109 CU @ USC 1-3s4,USC,19,False,False,6,11,2,0,4,0,0,9,2
191115 CU @ WA 0-3s1,WA,19,False,False,2,15,0,0,2,0,1,11,3
191115 CU @ WA 0-3s2,WA,19,False,False,4,13,2,1,1,0,1,9,3
191115 CU @ WA 0-3s3,WA,19,False,False,4,12,1,1,2,0,1,11,0
191117 CU @ WA St 2-3s1,WA St,19,False,False,4,20,0,0,3,1,1,17,2
191117 CU @ WA St 2-3s2,WA St,19,True,False,7,21,3,0,4,0,1,15,5
191117 CU @ WA St 2-3s3,WA St,19,True,False,4,14,3,0,1,0,1,12,1
191117 CU @ WA St 2-3s4,WA St,19,False,False,4,9,0,0,4,0,0,8,1
191117 CU @ WA St 2-3s5,WA St,19,False,False,0,5,0,0,0,0,0,5,0
191122 CU vs Cal 3-1s1,Cal,19,True,True,5,23,2,0,3,0,0,20,3
191122 CU vs Cal 3-1s2,Cal,19,True,True,7,18,1,0,6,0,1,14,3
191122 CU vs Cal 3-1s3,Cal,19,False,True,6,20,1,0,5,0,2,13,5
191122 CU vs Cal 3-1s4,Cal,19,True,True,1,18,0,0,1,0,1,12,5
191124 CU vs Stan 0-3s1,Stan,19,False,False,3,11,2,0,1,0,0,8,3
191124 CU vs Stan 0-3s2,Stan,19,False,False,5,2,1,1,3,0,0,2,0
191124 CU vs Stan 0-3s3,Stan,19,False,False,3,12,1,0,2,0,2,6,4
191127 CU vs OR 3-0s1,OR,19,True,True,6,24,2,1,3,0,4,19,1
191127 CU vs OR 3-0s2,OR,19,True,True,7,19,3,0,4,0,0,18,1
191127 CU vs OR 3-0s3,OR,19,True,True,5,18,4,0,1,0,2,16,0
191130 CU vs UT 0-3s1,UT,19,False,False,5,12,1,0,4,0,1,9,2
191130 CU vs UT 0-3s2,UT,19,False,False,7,11,0,0,7,0,2,8,1
191130 CU vs UT 0-3s3,UT,19,False,False,3,14,1,0,2,0,2,10,2
210117 CU vs Den 3-1s1,Den,21S,True,True,10,15,3,1,6,0,1,12,2
210117 CU vs Den 3-1s2,Den,21S,True,True,9,18,2,0,7,0,2,13,3
210117 CU vs Den 3-1s3,Den,21S,False,True,5,13,1,1,3,0,0,11,2
210117 CU vs Den 3-1s4,Den,21S,True,True,3,20,0,0,3,0,3,17,0
210122 CU vs OR St 3-0s1,OR St,21S,True,True,6,16,1,1,3,1,3,11,2
210122 CU vs OR St 3-0s2,OR St,21S,True,True,6,16,2,0,4,0,1,13,2
210122 CU vs OR St 3-0s3,OR St,21S,True,True,7,16,3,1,3,0,3,8,5
210124 CU vs OR St 3-1s1,OR St,21S,True,True,0,15,0,0,0,0,2,11,2
210124 CU vs OR St 3-1s2,OR St,21S,True,True,6,17,2,1,3,0,1,13,3
210124 CU vs OR St 3-1s3,OR St,21S,False,True,4,15,1,0,3,0,1,10,4
210124 CU vs OR St 3-1s4,OR St,21S,True,True,2,16,1,0,1,0,1,12,3